OrderKey,CustomerKey,StoreKey,Order Date,Delivery Date,Currency Code,GeoLocationKey
145002,1293438,580,5/25/2010,5/25/2010,USD,386
145003,1597288,600,5/25/2010,5/25/2010,USD,387
145004,912208,370,5/25/2010,5/25/2010,GBP,388
145005,36507,40,5/25/2010,5/25/2010,AUD,389
145006,464491,230,5/25/2010,5/25/2010,EUR,390
146000,2038257,510,5/26/2010,5/26/2010,USD,391
146001,1606396,510,5/26/2010,5/26/2010,USD,392
146002,1125468,370,5/26/2010,5/26/2010,GBP,393
146003,976098,390,5/26/2010,5/26/2010,GBP,394
146004,465667,230,5/26/2010,5/26/2010,EUR,395
146005,320919,70,5/26/2010,5/26/2010,CAD,396
146006,1353904,600,5/26/2010,5/26/2010,USD,397
146007,991991,420,5/26/2010,5/26/2010,GBP,398
146008,921133,390,5/26/2010,5/26/2010,GBP,399
147000,2000872,450,5/27/2010,5/27/2010,USD,400
147001,1136852,420,5/27/2010,5/27/2010,GBP,401
147002,1325088,500,5/27/2010,5/27/2010,USD,402
147003,259615,999999,5/27/2010,6/4/2010,CAD,403
147004,2076337,500,5/27/2010,5/27/2010,USD,404
147005,613639,999999,5/27/2010,6/5/2010,EUR,405
147006,918741,420,5/27/2010,5/27/2010,GBP,406
147007,1411283,510,5/27/2010,5/27/2010,USD,407
147008,1212288,520,5/27/2010,5/27/2010,USD,408
147009,1603158,550,5/27/2010,5/27/2010,USD,409
148000,71220,20,5/28/2010,5/28/2010,AUD,410
148001,1169609,999999,5/28/2010,6/10/2010,GBP,411
148002,209685,999999,5/28/2010,6/4/2010,CAD,412
148003,1673888,630,5/28/2010,5/28/2010,USD,413
148004,1133712,420,5/28/2010,5/28/2010,GBP,414
148005,1849584,520,5/28/2010,5/28/2010,USD,415
148006,1965288,550,5/28/2010,5/28/2010,USD,416
149000,1092329,390,5/29/2010,5/29/2010,GBP,417
149001,1801083,600,5/29/2010,5/29/2010,USD,418
149002,2025213,600,5/29/2010,5/29/2010,USD,419
149003,748788,300,5/29/2010,5/29/2010,EUR,420
149004,1650383,450,5/29/2010,5/29/2010,USD,421
149005,594507,230,5/29/2010,5/29/2010,EUR,422
149006,1429360,520,5/29/2010,5/29/2010,USD,423
149008,1978474,630,5/29/2010,5/29/2010,USD,424
149009,1528100,999999,5/29/2010,6/8/2010,USD,425
149010,1052486,420,5/29/2010,5/29/2010,GBP,426
149011,1101183,420,5/29/2010,5/29/2010,GBP,427
151000,1680169,520,5/31/2010,5/31/2010,USD,428
151001,1610211,510,5/31/2010,5/31/2010,USD,429
151002,1229492,650,5/31/2010,5/31/2010,USD,430
151003,382539,90,5/31/2010,5/31/2010,CAD,431
151004,1277945,650,5/31/2010,5/31/2010,USD,432
152000,1693813,500,6/1/2010,6/1/2010,USD,433
152001,1649550,650,6/1/2010,6/1/2010,USD,434
152002,1926364,580,6/1/2010,6/1/2010,USD,435
152003,1275636,580,6/1/2010,6/1/2010,USD,436
152004,789837,300,6/1/2010,6/1/2010,EUR,437
152005,905941,370,6/1/2010,6/1/2010,GBP,438
152006,1033608,370,6/1/2010,6/1/2010,GBP,439
153000,1756625,999999,6/2/2010,6/11/2010,USD,440
153001,1146124,420,6/2/2010,6/2/2010,GBP,441
153002,1146656,420,6/2/2010,6/2/2010,GBP,442
153003,1780687,510,6/2/2010,6/2/2010,USD,443
153004,1825107,510,6/2/2010,6/2/2010,USD,444
153005,1041566,390,6/2/2010,6/2/2010,GBP,445
153007,2039753,600,6/2/2010,6/2/2010,USD,446
154000,343183,90,6/3/2010,6/3/2010,CAD,447
154001,1629058,450,6/3/2010,6/3/2010,USD,448
154002,2002888,570,6/3/2010,6/3/2010,USD,449
154004,460814,270,6/3/2010,6/3/2010,EUR,450
154005,1719794,580,6/3/2010,6/3/2010,USD,451
154006,1007043,999999,6/3/2010,6/10/2010,GBP,452
154007,59304,60,6/3/2010,6/3/2010,AUD,453
154008,1718289,580,6/3/2010,6/3/2010,USD,454
154009,1117028,420,6/3/2010,6/3/2010,GBP,455
155000,413286,230,6/4/2010,6/4/2010,EUR,456
155001,1433539,440,6/4/2010,6/4/2010,USD,457
155002,1934859,570,6/4/2010,6/4/2010,USD,458
155003,738874,300,6/4/2010,6/4/2010,EUR,459
155004,1657736,999999,6/4/2010,6/12/2010,USD,460
155005,462438,230,6/4/2010,6/4/2010,EUR,461
155006,281638,90,6/4/2010,6/4/2010,CAD,462
156000,1860085,440,6/5/2010,6/5/2010,USD,463
156001,443701,270,6/5/2010,6/5/2010,EUR,464
156002,915859,390,6/5/2010,6/5/2010,GBP,465
156003,982645,420,6/5/2010,6/5/2010,GBP,466
156004,2054697,630,6/5/2010,6/5/2010,USD,467
156005,222611,70,6/5/2010,6/5/2010,CAD,468
156006,624742,140,6/5/2010,6/5/2010,EUR,469
156007,1149867,390,6/5/2010,6/5/2010,GBP,470
156008,885360,340,6/5/2010,6/5/2010,EUR,471
156009,1451546,650,6/5/2010,6/5/2010,USD,472
156010,1539247,600,6/5/2010,6/5/2010,USD,473
156011,995164,999999,6/5/2010,6/17/2010,GBP,474
158000,1380607,450,6/7/2010,6/7/2010,USD,475
158001,1900789,600,6/7/2010,6/7/2010,USD,476
158002,580710,250,6/7/2010,6/7/2010,EUR,477
158003,1355355,570,6/7/2010,6/7/2010,USD,478
158004,1226752,520,6/7/2010,6/7/2010,USD,479
159000,1603102,650,6/8/2010,6/8/2010,USD,480
159001,1524450,570,6/8/2010,6/8/2010,USD,481
159002,175276,60,6/8/2010,6/8/2010,AUD,482
159003,1211608,510,6/8/2010,6/8/2010,USD,483
159004,1493947,500,6/8/2010,6/8/2010,USD,484
159005,1932228,550,6/8/2010,6/8/2010,USD,485
159006,342393,70,6/8/2010,6/8/2010,CAD,486
160000,241724,999999,6/9/2010,6/18/2010,CAD,487
160001,1731467,450,6/9/2010,6/9/2010,USD,488
160002,1651921,510,6/9/2010,6/9/2010,USD,489
160003,261256,70,6/9/2010,6/9/2010,CAD,490
160004,1380510,999999,6/9/2010,6/18/2010,USD,491
160005,1669048,600,6/9/2010,6/9/2010,USD,492
160006,1353398,999999,6/9/2010,6/15/2010,USD,493
160007,536864,250,6/9/2010,6/9/2010,EUR,494
160008,690102,140,6/9/2010,6/9/2010,EUR,495
161000,604597,170,6/10/2010,6/10/2010,EUR,496
161001,1755082,510,6/10/2010,6/10/2010,USD,497
161002,441933,230,6/10/2010,6/10/2010,EUR,498
161003,1644544,650,6/10/2010,6/10/2010,USD,499
161004,1234127,650,6/10/2010,6/10/2010,USD,500
161005,1955971,999999,6/10/2010,6/25/2010,USD,501
161006,1625255,510,6/10/2010,6/10/2010,USD,502
161007,2044567,510,6/10/2010,6/10/2010,USD,503
161008,1819731,600,6/10/2010,6/10/2010,USD,504
161009,1693159,500,6/10/2010,6/10/2010,USD,505
162001,910132,390,6/11/2010,6/11/2010,GBP,506
162002,593404,230,6/11/2010,6/11/2010,EUR,507
162003,368277,70,6/11/2010,6/11/2010,CAD,508
162004,455271,270,6/11/2010,6/11/2010,EUR,509
162005,181622,20,6/11/2010,6/11/2010,AUD,510
162006,795665,300,6/11/2010,6/11/2010,EUR,511
163000,1047910,420,6/12/2010,6/12/2010,GBP,512
163001,1524676,600,6/12/2010,6/12/2010,USD,513
163002,2041197,510,6/12/2010,6/12/2010,USD,514
163003,1346329,550,6/12/2010,6/12/2010,USD,515
163004,1880784,570,6/12/2010,6/12/2010,USD,516
163005,1224252,650,6/12/2010,6/12/2010,USD,517
163006,1149875,999999,6/12/2010,6/21/2010,GBP,518
163007,1455360,570,6/12/2010,6/12/2010,USD,519
163008,1443641,500,6/12/2010,6/12/2010,USD,520
163009,1224252,440,6/12/2010,6/12/2010,USD,521
163010,1180909,999999,6/12/2010,6/20/2010,GBP,522
163011,1491708,999999,6/12/2010,6/26/2010,USD,523
165000,509138,220,6/14/2010,6/14/2010,EUR,524
165001,275718,70,6/14/2010,6/14/2010,CAD,525
165002,1277982,510,6/14/2010,6/14/2010,USD,526
165003,2014894,550,6/14/2010,6/14/2010,USD,527
165004,1451013,650,6/14/2010,6/14/2010,USD,528
166000,2088972,630,6/15/2010,6/15/2010,USD,529
166001,236612,70,6/15/2010,6/15/2010,CAD,530
166002,297595,90,6/15/2010,6/15/2010,CAD,531
166003,1300575,440,6/15/2010,6/15/2010,USD,532
166004,1044988,420,6/15/2010,6/15/2010,GBP,533
166005,1820377,440,6/15/2010,6/15/2010,USD,534
166006,1849831,500,6/15/2010,6/15/2010,USD,535
167000,1039050,370,6/16/2010,6/16/2010,GBP,536
167001,2044798,510,6/16/2010,6/16/2010,USD,537
167002,1460150,520,6/16/2010,6/16/2010,USD,538
167003,1671513,600,6/16/2010,6/16/2010,USD,539
167004,496867,270,6/16/2010,6/16/2010,EUR,540
167005,504968,250,6/16/2010,6/16/2010,EUR,541
167006,84085,60,6/16/2010,6/16/2010,AUD,542
167007,682759,170,6/16/2010,6/16/2010,EUR,543
167008,503444,220,6/16/2010,6/16/2010,EUR,544
168000,1041513,999999,6/17/2010,6/27/2010,GBP,545
168001,2098879,450,6/17/2010,6/17/2010,USD,546
168002,1432379,999999,6/17/2010,6/28/2010,USD,547
168003,706023,290,6/17/2010,6/17/2010,EUR,548
168004,1759471,440,6/17/2010,6/17/2010,USD,549
168005,825334,340,6/17/2010,6/17/2010,EUR,550
168006,1420774,550,6/17/2010,6/17/2010,USD,551
168007,321221,90,6/17/2010,6/17/2010,CAD,552
168008,1911080,450,6/17/2010,6/17/2010,USD,553
168009,1836716,440,6/17/2010,6/17/2010,USD,554
169000,1165391,420,6/18/2010,6/18/2010,GBP,555
169001,786690,300,6/18/2010,6/18/2010,EUR,556
169002,1162408,390,6/18/2010,6/18/2010,GBP,557
169003,1307997,570,6/18/2010,6/18/2010,USD,558
169004,946857,390,6/18/2010,6/18/2010,GBP,559
169005,716491,290,6/18/2010,6/18/2010,EUR,560
169006,1385392,450,6/18/2010,6/18/2010,USD,561
170000,6978,40,6/19/2010,6/19/2010,AUD,562
170001,85220,60,6/19/2010,6/19/2010,AUD,563
170002,1040649,999999,6/19/2010,7/2/2010,GBP,564
170003,278255,90,6/19/2010,6/19/2010,CAD,565
170004,1748682,580,6/19/2010,6/19/2010,USD,566
170005,1887180,520,6/19/2010,6/19/2010,USD,567
170006,2080484,520,6/19/2010,6/19/2010,USD,568
170007,701409,300,6/19/2010,6/19/2010,EUR,569
170008,1911774,580,6/19/2010,6/19/2010,USD,570
170009,420053,270,6/19/2010,6/19/2010,EUR,571
170010,941706,370,6/19/2010,6/19/2010,GBP,572
170011,1079617,370,6/19/2010,6/19/2010,GBP,573
172000,1674304,510,6/21/2010,6/21/2010,USD,574
172001,1572081,510,6/21/2010,6/21/2010,USD,575
172002,902361,370,6/21/2010,6/21/2010,GBP,576
172003,1564826,600,6/21/2010,6/21/2010,USD,577
172004,1650383,570,6/21/2010,6/21/2010,USD,578
173000,1937213,580,6/22/2010,6/22/2010,USD,579
173001,1011274,370,6/22/2010,6/22/2010,GBP,580
173002,1448616,550,6/22/2010,6/22/2010,USD,581
173003,596106,230,6/22/2010,6/22/2010,EUR,582
173004,1480276,650,6/22/2010,6/22/2010,USD,583
173005,1814198,440,6/22/2010,6/22/2010,USD,584
173006,444667,230,6/22/2010,6/22/2010,EUR,585
174000,2042097,650,6/23/2010,6/23/2010,USD,586
174001,1239387,630,6/23/2010,6/23/2010,USD,587
174002,1510251,630,6/23/2010,6/23/2010,USD,588
174003,845621,340,6/23/2010,6/23/2010,EUR,589
174004,913808,370,6/23/2010,6/23/2010,GBP,590
174005,408295,230,6/23/2010,6/23/2010,EUR,591
174006,1227008,999999,6/23/2010,6/29/2010,USD,592
174007,1596238,999999,6/23/2010,7/1/2010,USD,593
174008,848897,320,6/23/2010,6/23/2010,EUR,594
175000,1947078,650,6/24/2010,6/24/2010,USD,595
175001,1498838,650,6/24/2010,6/24/2010,USD,596
175002,1711283,580,6/24/2010,6/24/2010,USD,597
175003,1263184,600,6/24/2010,6/24/2010,USD,598
175004,2002773,450,6/24/2010,6/24/2010,USD,599
175005,1270042,570,6/24/2010,6/24/2010,USD,600
175006,911045,370,6/24/2010,6/24/2010,GBP,601
175008,1346329,600,6/24/2010,6/24/2010,USD,602
175009,1826355,440,6/24/2010,6/24/2010,USD,603
176000,1300575,570,6/25/2010,6/25/2010,USD,604
176001,795588,999999,6/25/2010,7/2/2010,EUR,605
176002,715298,999999,6/25/2010,7/2/2010,EUR,606
176003,1272086,520,6/25/2010,6/25/2010,USD,607
176004,759633,290,6/25/2010,6/25/2010,EUR,608
176005,308690,999999,6/25/2010,7/3/2010,CAD,609
176006,1806460,650,6/25/2010,6/25/2010,USD,610
177000,1385421,520,6/26/2010,6/26/2010,USD,611
177001,2015621,600,6/26/2010,6/26/2010,USD,612
177002,311539,90,6/26/2010,6/26/2010,CAD,613
177003,1437127,520,6/26/2010,6/26/2010,USD,614
177004,1887180,550,6/26/2010,6/26/2010,USD,615
177005,1062632,370,6/26/2010,6/26/2010,GBP,616
177006,1241747,630,6/26/2010,6/26/2010,USD,617
177007,737978,290,6/26/2010,6/26/2010,EUR,618
177008,770856,999999,6/26/2010,7/4/2010,EUR,619
177009,1865702,580,6/26/2010,6/26/2010,USD,620
177010,43840,40,6/26/2010,6/26/2010,AUD,621
177011,290095,70,6/26/2010,6/26/2010,CAD,622
177012,170077,40,6/26/2010,6/26/2010,AUD,623
179000,2049273,630,6/28/2010,6/28/2010,USD,624
179001,1734732,550,6/28/2010,6/28/2010,USD,625
179002,285168,110,6/28/2010,6/28/2010,CAD,626
179003,513548,250,6/28/2010,6/28/2010,EUR,627
180000,1157901,390,6/29/2010,6/29/2010,GBP,628
180001,1329709,520,6/29/2010,6/29/2010,USD,629
180002,1539384,520,6/29/2010,6/29/2010,USD,630
180003,1116156,420,6/29/2010,6/29/2010,GBP,631
180004,1135020,390,6/29/2010,6/29/2010,GBP,632
180006,978785,390,6/29/2010,6/29/2010,GBP,633
181000,1451764,500,6/30/2010,6/30/2010,USD,634
181001,1561454,520,6/30/2010,6/30/2010,USD,635
181002,1482176,650,6/30/2010,6/30/2010,USD,636
181003,927080,420,6/30/2010,6/30/2010,GBP,637
181004,1543325,570,6/30/2010,6/30/2010,USD,638
181005,1639392,580,6/30/2010,6/30/2010,USD,639
181006,749024,290,6/30/2010,6/30/2010,EUR,640
181007,1322538,630,6/30/2010,6/30/2010,USD,641
181008,458731,270,6/30/2010,6/30/2010,EUR,642
182001,1194652,420,7/1/2010,7/1/2010,GBP,643
182002,1625870,450,7/1/2010,7/1/2010,USD,644
182003,1427869,600,7/1/2010,7/1/2010,USD,645
182004,1328539,999999,7/1/2010,7/12/2010,USD,646
182005,1453985,600,7/1/2010,7/1/2010,USD,647
182006,1718821,500,7/1/2010,7/1/2010,USD,648
182007,719193,300,7/1/2010,7/1/2010,EUR,649
182008,1251931,650,7/1/2010,7/1/2010,USD,650
182009,1305081,650,7/1/2010,7/1/2010,USD,651
183000,1049326,390,7/2/2010,7/2/2010,GBP,652
183001,1764911,500,7/2/2010,7/2/2010,USD,653
183002,1531809,450,7/2/2010,7/2/2010,USD,654
183003,343183,999999,7/2/2010,7/14/2010,CAD,655
183004,1575801,650,7/2/2010,7/2/2010,USD,656
183005,1969736,550,7/2/2010,7/2/2010,USD,657
183006,1890640,500,7/2/2010,7/2/2010,USD,658
184000,1487034,600,7/3/2010,7/3/2010,USD,659
184001,597051,270,7/3/2010,7/3/2010,EUR,660
184002,580881,220,7/3/2010,7/3/2010,EUR,661
184003,2099252,450,7/3/2010,7/3/2010,USD,662
184004,917380,390,7/3/2010,7/3/2010,GBP,663
184005,336239,90,7/3/2010,7/3/2010,CAD,664
184006,1945512,600,7/3/2010,7/3/2010,USD,665
184008,778259,290,7/3/2010,7/3/2010,EUR,666
184009,234648,110,7/3/2010,7/3/2010,CAD,667
184010,1570781,450,7/3/2010,7/3/2010,USD,668
184011,174141,40,7/3/2010,7/3/2010,AUD,669
184012,1198478,999999,7/3/2010,7/11/2010,GBP,670
186000,216372,70,7/5/2010,7/5/2010,CAD,671
186001,1942072,570,7/5/2010,7/5/2010,USD,672
186002,1507090,580,7/5/2010,7/5/2010,USD,673
186003,857638,350,7/5/2010,7/5/2010,EUR,674
186004,2039866,550,7/5/2010,7/5/2010,USD,675
187001,1446045,500,7/6/2010,7/6/2010,USD,676
187002,846031,999999,7/6/2010,7/18/2010,EUR,677
187003,1685102,520,7/6/2010,7/6/2010,USD,678
187004,61947,60,7/6/2010,7/6/2010,AUD,679
187005,1276598,580,7/6/2010,7/6/2010,USD,680
187006,1722588,520,7/6/2010,7/6/2010,USD,681
188000,1835626,450,7/7/2010,7/7/2010,USD,682
188001,998699,420,7/7/2010,7/7/2010,GBP,683
188002,1580391,999999,7/7/2010,7/18/2010,USD,684
188003,503444,250,7/7/2010,7/7/2010,EUR,685
188004,1746504,510,7/7/2010,7/7/2010,USD,686
188005,399253,999999,7/7/2010,7/16/2010,CAD,687
188006,2070495,999999,7/7/2010,7/22/2010,USD,688
188007,1376346,580,7/7/2010,7/7/2010,USD,689
188008,1594290,580,7/7/2010,7/7/2010,USD,690
188009,834605,340,7/7/2010,7/7/2010,EUR,691
189000,357825,999999,7/8/2010,7/16/2010,CAD,692
189002,1314751,630,7/8/2010,7/8/2010,USD,693
189003,220543,110,7/8/2010,7/8/2010,CAD,694
189004,819982,350,7/8/2010,7/8/2010,EUR,695
189005,945870,370,7/8/2010,7/8/2010,GBP,696
189006,564024,999999,7/8/2010,7/14/2010,EUR,697
189007,2059735,600,7/8/2010,7/8/2010,USD,698
189008,819,10,7/8/2010,7/8/2010,AUD,699
189009,1956960,570,7/8/2010,7/8/2010,USD,700
190000,1663825,500,7/9/2010,7/9/2010,USD,701
190001,1785720,999999,7/9/2010,7/17/2010,USD,702
190002,1183290,370,7/9/2010,7/9/2010,GBP,703
190003,1418971,510,7/9/2010,7/9/2010,USD,704
190004,197547,20,7/9/2010,7/9/2010,AUD,705
190005,1706876,570,7/9/2010,7/9/2010,USD,706
190006,1716647,520,7/9/2010,7/9/2010,USD,707
191000,1434562,580,7/10/2010,7/10/2010,USD,708
191001,1661596,440,7/10/2010,7/10/2010,USD,709
191002,1055880,390,7/10/2010,7/10/2010,GBP,710
191003,1223138,500,7/10/2010,7/10/2010,USD,711
191004,945448,390,7/10/2010,7/10/2010,GBP,712
191005,1459686,450,7/10/2010,7/10/2010,USD,713
191006,949774,420,7/10/2010,7/10/2010,GBP,714
191007,1240530,580,7/10/2010,7/10/2010,USD,715
191008,597262,270,7/10/2010,7/10/2010,EUR,716
191009,210320,70,7/10/2010,7/10/2010,CAD,717
191010,1168405,390,7/10/2010,7/10/2010,GBP,718
191011,467810,220,7/10/2010,7/10/2010,EUR,719
193000,1457759,580,7/12/2010,7/12/2010,USD,720
193001,564341,250,7/12/2010,7/12/2010,EUR,721
193002,789177,300,7/12/2010,7/12/2010,EUR,722
193003,169633,60,7/12/2010,7/12/2010,AUD,723
193004,919575,390,7/12/2010,7/12/2010,GBP,724
194000,1703702,570,7/13/2010,7/13/2010,USD,725
194001,1182123,370,7/13/2010,7/13/2010,GBP,726
194002,211067,999999,7/13/2010,7/21/2010,CAD,727
194003,1421877,510,7/13/2010,7/13/2010,USD,728
194005,1862520,550,7/13/2010,7/13/2010,USD,729
194006,282556,999999,7/13/2010,7/21/2010,CAD,730
195000,1361682,450,7/14/2010,7/14/2010,USD,731
195001,934508,999999,7/14/2010,7/28/2010,GBP,732
195002,443916,220,7/14/2010,7/14/2010,EUR,733
195003,957765,370,7/14/2010,7/14/2010,GBP,734
195004,1471397,510,7/14/2010,7/14/2010,USD,735
195005,492069,250,7/14/2010,7/14/2010,EUR,736
195006,1047910,370,7/14/2010,7/14/2010,GBP,737
195007,2013919,510,7/14/2010,7/14/2010,USD,738
195008,1114100,420,7/14/2010,7/14/2010,GBP,739
195009,2099862,600,7/14/2010,7/14/2010,USD,740
196000,1754573,440,7/15/2010,7/15/2010,USD,741
196001,861784,340,7/15/2010,7/15/2010,EUR,742
196002,503817,230,7/15/2010,7/15/2010,EUR,743
196003,1735123,550,7/15/2010,7/15/2010,USD,744
196004,1361464,440,7/15/2010,7/15/2010,USD,745
196005,594796,250,7/15/2010,7/15/2010,EUR,746
196006,695433,160,7/15/2010,7/15/2010,EUR,747
196007,446069,999999,7/15/2010,7/23/2010,EUR,748
196008,969679,420,7/15/2010,7/15/2010,GBP,749
196009,1983841,600,7/15/2010,7/15/2010,USD,750
197000,2078281,630,7/16/2010,7/16/2010,USD,751
197001,1265898,999999,7/16/2010,7/22/2010,USD,752
197002,1992835,520,7/16/2010,7/16/2010,USD,753
197003,1711130,570,7/16/2010,7/16/2010,USD,754
197004,152445,60,7/16/2010,7/16/2010,AUD,755
197005,252545,70,7/16/2010,7/16/2010,CAD,756
197006,159929,60,7/16/2010,7/16/2010,AUD,757
198000,1223404,520,7/17/2010,7/17/2010,USD,758
198001,1797536,450,7/17/2010,7/17/2010,USD,759
198002,1442640,630,7/17/2010,7/17/2010,USD,760
198003,1609030,550,7/17/2010,7/17/2010,USD,761
198004,122533,60,7/17/2010,7/17/2010,AUD,762
198005,1428180,570,7/17/2010,7/17/2010,USD,763
198006,779044,300,7/17/2010,7/17/2010,EUR,764
198007,324582,999999,7/17/2010,7/29/2010,CAD,765
198008,1501857,999999,7/17/2010,7/24/2010,USD,766
198009,1474834,450,7/17/2010,7/17/2010,USD,767
198010,783906,999999,7/17/2010,7/25/2010,EUR,768
198011,997191,420,7/17/2010,7/17/2010,GBP,769
198012,90814,60,7/17/2010,7/17/2010,AUD,770
200000,493090,250,7/19/2010,7/19/2010,EUR,771
200001,15718,40,7/19/2010,7/19/2010,AUD,772
200002,443720,230,7/19/2010,7/19/2010,EUR,773
200003,1465279,650,7/19/2010,7/19/2010,USD,774
200004,1159180,370,7/19/2010,7/19/2010,GBP,775
201000,1059705,370,7/20/2010,7/20/2010,GBP,776
201001,1206432,580,7/20/2010,7/20/2010,USD,777
201002,1057875,420,7/20/2010,7/20/2010,GBP,778
201003,735657,290,7/20/2010,7/20/2010,EUR,779
201004,1840223,520,7/20/2010,7/20/2010,USD,780
201005,1893372,450,7/20/2010,7/20/2010,USD,781
201006,1117028,420,7/20/2010,7/20/2010,GBP,782
202000,2006191,570,7/21/2010,7/21/2010,USD,783
202001,1878983,500,7/21/2010,7/21/2010,USD,784
202002,1552478,600,7/21/2010,7/21/2010,USD,785
202003,4633,999999,7/21/2010,7/31/2010,AUD,786
202004,889395,350,7/21/2010,7/21/2010,EUR,787
202005,1346651,580,7/21/2010,7/21/2010,USD,788
202006,1029868,420,7/21/2010,7/21/2010,GBP,789
202007,286900,70,7/21/2010,7/21/2010,CAD,790
202008,171324,20,7/21/2010,7/21/2010,AUD,791
203000,1647588,600,7/22/2010,7/22/2010,USD,792
203001,1113084,420,7/22/2010,7/22/2010,GBP,793
203002,638010,160,7/22/2010,7/22/2010,EUR,794
203003,1799228,580,7/22/2010,7/22/2010,USD,795
203004,1601250,630,7/22/2010,7/22/2010,USD,796
203005,497899,220,7/22/2010,7/22/2010,EUR,797
203006,239424,70,7/22/2010,7/22/2010,CAD,798
203007,1526388,440,7/22/2010,7/22/2010,USD,799
203008,250884,90,7/22/2010,7/22/2010,CAD,800
204000,1724776,450,7/23/2010,7/23/2010,USD,801
204001,1911030,999999,7/23/2010,7/29/2010,USD,802
204002,421862,270,7/23/2010,7/23/2010,EUR,803
204003,2043619,570,7/23/2010,7/23/2010,USD,804
204004,1361042,500,7/23/2010,7/23/2010,USD,805
205000,1233925,600,7/24/2010,7/24/2010,USD,806
205001,1906344,520,7/24/2010,7/24/2010,USD,807
205002,720712,300,7/24/2010,7/24/2010,EUR,808
205003,1947939,630,7/24/2010,7/24/2010,USD,809
205004,1383859,600,7/24/2010,7/24/2010,USD,810
205005,707986,290,7/24/2010,7/24/2010,EUR,811
205006,420977,220,7/24/2010,7/24/2010,EUR,812
205007,1397652,500,7/24/2010,7/24/2010,USD,813
205008,633008,170,7/24/2010,7/24/2010,EUR,814
207001,2002888,450,7/26/2010,7/26/2010,USD,815
207002,479359,999999,7/26/2010,8/7/2010,EUR,816
208000,1527995,520,7/27/2010,7/27/2010,USD,817
208001,68000,10,7/27/2010,7/27/2010,AUD,818
208002,1291414,580,7/27/2010,7/27/2010,USD,819
209000,443651,220,7/28/2010,7/28/2010,EUR,820
209001,1722880,650,7/28/2010,7/28/2010,USD,821
209003,1451431,500,7/28/2010,7/28/2010,USD,822
210000,65269,40,7/29/2010,7/29/2010,AUD,823
210001,1387959,520,7/29/2010,7/29/2010,USD,824
210002,1473690,630,7/29/2010,7/29/2010,USD,825
210003,1668530,510,7/29/2010,7/29/2010,USD,826
210004,1655148,999999,7/29/2010,8/7/2010,USD,827
211000,1092434,370,7/30/2010,7/30/2010,GBP,828
